Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,noise_ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,f1_macro,f1_micro,f1_weighted,AUC
Wed Jan 13 15:27:53 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.8,1,0.8190066814422607,0.6599664991624791,0.6992481203007519,0.5808080808080808,0.7707182320441989,0.48936170212765956,0.7332457293035478,0.5311778290993071,0.6599664991624791,0.65370476356151,0.6300399670859292,0.6322117792014275
Wed Jan 13 16:04:24 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.75,1,0.8139923810958862,0.6716917922948074,0.6985645933014354,0.6089385474860335,0.8066298342541437,0.46382978723404256,0.7487179487179487,0.5265700483091788,0.6716917922948074,0.6612727952907109,0.6352298107440931,0.6376439985135638
Wed Jan 13 16:29:39 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.76,1,0.8218719959259033,0.6582914572864321,0.6837209302325581,0.592814371257485,0.8121546961325967,0.42127659574468085,0.7424242424242424,0.49253731343283585,0.6582914572864321,0.6440600408949618,0.6167156459386388,0.6174807779285392
Wed Jan 13 16:54:50 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.77,1,0.8199617862701416,0.6582914572864321,0.6763392857142857,0.6040268456375839,0.8370165745856354,0.3829787234042553,0.7481481481481482,0.46875,0.6582914572864321,0.6381673025621938,0.6099976489949454,0.6084490740740741
Wed Jan 13 17:20:07 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.78,1,0.8125597238540649,0.6298157453936348,0.6516129032258065,0.553030303030303,0.8370165745856354,0.31063829787234043,0.7327690447400242,0.3978201634877384,0.6298157453936348,0.6009214951683539,0.5738274362289879,0.5652946041138813
Wed Jan 13 17:45:36 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.79,1,0.827363908290863,0.644891122278057,0.6602564102564102,0.5891472868217055,0.8535911602209945,0.32340425531914896,0.744578313253012,0.41758241758241765,0.644891122278057,0.6158613358952403,0.5884977077700717,0.5810803654177148
