Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,noise_ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,f1_macro,f1_micro,f1_weighted,AUC
Mon Jan 18 03:42:45 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.65,1,0.8395237922668457,0.6901172529313233,0.6911447084233261,0.6865671641791045,0.8839779005524862,0.39148936170212767,0.7757575757575756,0.4986449864498645,0.6901172529313233,0.6666764057620779,0.637733631127307,0.6372012811037201
Mon Jan 18 04:01:09 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.6,1,0.8385714292526245,0.6817420435510888,0.7107843137254902,0.6190476190476191,0.8011049723756906,0.4978723404255319,0.7532467532467532,0.5518867924528302,0.6817420435510888,0.6739844571218421,0.6494886564006113,0.6525667728497917
Mon Jan 18 15:26:12 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.75,1,0.8347659707069397,0.6515912897822446,0.6964285714285714,0.5658536585365853,0.7541436464088398,0.49361702127659574,0.7241379310344827,0.5272727272727273,0.6515912897822446,0.6466449278786829,0.6238803338427178,0.625705329153605
Mon Jan 18 16:03:03 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.8,1,0.8151862621307373,0.6566164154103853,0.7236467236467237,0.5609756097560976,0.7016574585635359,0.5872340425531914,0.7124824684431978,0.5738045738045737,0.6566164154103853,0.6578940174547948,0.6444457505583636,0.6431435211238858
Mon Jan 18 16:36:29 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.81,1,0.8321394324302673,0.6365159128978225,0.681704260651629,0.5454545454545454,0.7513812154696132,0.4595744680851064,0.7148488830486203,0.49884526558891457,0.6365159128978225,0.629822333462304,0.6054778417773597,0.6068470743187674
Mon Jan 18 20:13:39 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.81,1,0.822588324546814,0.6633165829145728,0.6987654320987654,0.5885416666666666,0.7817679558011049,0.4808510638297872,0.7379400260756193,0.5292740046838407,0.6633165829145728,0.6558018099498772,0.631309509815446,0.63360701537973
Mon Jan 18 21:18:20 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.99,1,0.7848615050315857,0.6700167504187605,0.6781857451403888,0.6417910447761194,0.8674033149171271,0.3659574468085106,0.7612121212121211,0.46612466124661245,0.6700167504187605,0.645055415865564,0.6166803808628188,0.6136683912293668
Mon Jan 18 21:43:01 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.99,1,0.7831900715827942,0.6733668341708543,0.6660039761431411,0.7127659574468085,0.925414364640884,0.2851063829787234,0.7745664739884393,0.4072948328267478,0.6733668341708543,0.6299955599633178,0.6052603738098037,0.5909306534075935
Mon Jan 18 22:07:22 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.9,1,0.8120821118354797,0.6432160804020101,0.683046683046683,0.5578947368421052,0.7679558011049724,0.451063829787234,0.7230169050715214,0.49882352941176467,0.6432160804020101,0.6347665813193559,0.6095098154461032,0.610920217241643
Mon Jan 18 22:35:07 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,3,0.85,1,0.8235434293746948,0.6415410385259631,0.6968085106382979,0.5475113122171946,0.7237569060773481,0.5148936170212766,0.7100271002710027,0.5307017543859649,0.6415410385259631,0.6394383962794049,0.6193252615493123,0.6203644273284838
Mon Jan 18 23:38:56 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,4,7,0.99,1,0.8795538544654846,0.644891122278057,0.6425855513307985,0.6619718309859155,0.9337016574585635,0.2,0.7612612612612613,0.3071895424836602,0.644891122278057,0.582522812496209,0.5668508287292817,0.5342254018724607
