Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,noise_ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,f1_macro,f1_micro,f1_weighted,AUC
Fri Jan 15 04:07:06 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.7531,1,0.8116666674613953,0.6532663316582915,0.6584867075664622,0.6296296296296297,0.8895027624309392,0.28936170212765955,0.7567567567567568,0.39650145772594747,0.6532663316582915,0.6149477194498217,0.5894322322792993,0.5766291072413521
Fri Jan 15 04:24:56 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.753,1,0.8102381229400635,0.6716917922948074,0.6886363636363636,0.6242038216560509,0.8370165745856354,0.41702127659574467,0.7556109725685785,0.5,0.6716917922948074,0.654993588056659,0.6270189255906901,0.6278054862842892
Fri Jan 15 04:45:08 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.754,1,0.8019047379493713,0.6465661641541038,0.6659340659340659,0.5845070422535211,0.8370165745856354,0.35319148936170214,0.7417380660954712,0.44031830238726793,0.6465661641541038,0.6230887453728117,0.5951040319736687,0.5910281842413696
Fri Jan 15 05:03:31 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.75,1,0.8354762196540833,0.6817420435510888,0.7037914691943128,0.6285714285714286,0.8204419889502762,0.46808510638297873,0.7576530612244897,0.5365853658536586,0.6817420435510888,0.6706331141354691,0.6442635476666274,0.6471192135390742
Fri Jan 15 05:23:26 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.5,1,0.8126190304756165,0.6750418760469011,0.7,0.615819209039548,0.8121546961325967,0.46382978723404256,0.7519181585677749,0.5291262135922331,0.6750418760469011,0.664219486759982,0.6379922416833196,0.640522186080004
Fri Jan 15 05:40:54 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.4,1,0.8211904764175415,0.6767169179229481,0.706601466992665,0.6117021276595744,0.7983425414364641,0.48936170212765956,0.7496757457846953,0.5437352245862884,0.6767169179229481,0.6686103814938651,0.6438521217820619,0.6467054851854919
Fri Jan 15 05:58:11 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.3,1,0.8192856907844543,0.6666666666666666,0.673773987206823,0.640625,0.8729281767955801,0.34893617021276596,0.7605294825511433,0.4517906336088154,0.6666666666666666,0.6389991148770275,0.6109321735041731,0.6061600580799793
Fri Jan 15 06:15:33 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.1,1,0.8319047689437866,0.6331658291457286,0.6896551724137931,0.5363636363636364,0.7182320441988951,0.502127659574468,0.7036535859269283,0.5186813186813187,0.6331658291457286,0.6308420569441506,0.6101798518866817,0.6111674523041235
Fri Jan 15 12:50:51 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.4,1,0.8349999785423279,0.6850921273031826,0.6797520661157025,0.7079646017699115,0.9088397790055248,0.3404255319148936,0.7777777777777778,0.45977011494252873,0.6850921273031826,0.6525988820218589,0.6246326554602093,0.6187739463601533
Fri Jan 15 13:22:30 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.753,1,0.8185714483261108,0.6381909547738693,0.646,0.5979381443298969,0.8922651933701657,0.24680851063829787,0.7494199535962877,0.3493975903614458,0.6381909547738693,0.5919572142994906,0.5695368520042319,0.5494087719788667
Fri Jan 15 14:28:27 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,4,0.753,1,0.864464282989502,0.6549413735343383,0.6598360655737705,0.6330275229357798,0.8895027624309392,0.2936170212765957,0.7576470588235293,0.40116279069767435,0.6549413735343383,0.6173224306667858,0.5915598918537674,0.5794049247606019
Fri Jan 15 15:08:39 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.753,1,0.7179487347602844,0.675,0.6486486486486487,1.0,1.0,0.1875,0.7868852459016393,0.3157894736842105,0.675,0.5984469370146679,0.59375,0.551337359792925
Fri Jan 15 15:10:11 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.753,1,0.7051281929016113,0.6,0.6176470588235294,0.5,0.875,0.1875,0.7241379310344829,0.2727272727272727,0.6,0.5435736677115988,0.53125,0.4984326018808778
Fri Jan 15 15:33:59 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.753,1,0.7502381205558777,0.6063651591289783,0.6063651591289783,0.0,1.0,0.0,0.7549530761209594,0.0,0.6063651591289783,0.45777724213699716,0.5,0.3774765380604797
