Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,noise_ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,f1_macro,f1_micro,f1_weighted,AUC
Wed Jan 13 00:52:23 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.8,1,0.8095238208770752,0.6666666666666666,0.673036093418259,0.6428571428571429,0.8756906077348067,0.3446808510638298,0.7611044417767108,0.4487534626038781,0.6666666666666666,0.638152213794105,0.6101857293993183,0.6049289521902944
Wed Jan 13 01:11:12 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.801,1,0.8390476107597351,0.6733668341708543,0.6983372921615202,0.6136363636363636,0.8121546961325967,0.4595744680851064,0.7509578544061303,0.5255474452554745,0.6733668341708543,0.6622284638694399,0.6358645821088516,0.6382526498308023
Wed Jan 13 01:29:56 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.802,1,0.8197619318962097,0.6566164154103853,0.7115902964959568,0.5663716814159292,0.7292817679558011,0.5446808510638298,0.7203274215552524,0.5553145336225598,0.6566164154103853,0.6553725996721992,0.6369813095098155,0.6378209775889061
Wed Jan 13 01:56:36 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.803,1,0.8421428799629211,0.6515912897822446,0.655241935483871,0.6336633663366337,0.8977900552486188,0.2723404255319149,0.7575757575757577,0.380952380952381,0.6515912897822446,0.6093236746503079,0.5850652403902667,0.5692640692640694
Wed Jan 13 02:15:07 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.804,1,0.8230952620506287,0.6465661641541038,0.6696629213483146,0.5789473684210527,0.8232044198895028,0.37446808510638296,0.7385377942998761,0.4547803617571059,0.6465661641541038,0.626840982494933,0.5988362524979429,0.596659078028491
Wed Jan 13 02:33:39 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.805,1,0.8199999928474426,0.6582914572864321,0.6828703703703703,0.593939393939394,0.8149171270718232,0.41702127659574467,0.743073047858942,0.49000000000000005,0.6582914572864321,0.643454678936243,0.6159692018337839,0.616536523929471
Wed Jan 13 02:52:09 2021,MT_BERT_distilbert-base-uncased_Teacher,2e-05,8,3,0.806,1,0.7819047570228577,0.6733668341708543,0.6983372921615202,0.6136363636363636,0.8121546961325967,0.4595744680851064,0.7509578544061303,0.5255474452554745,0.6733668341708543,0.6622284638694399,0.6358645821088516,0.6382526498308023
