Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,AUC,Fold
Mon Dec 28 21:09:17 2020,MT_Attn_Teacher,2e-05,32,30,0.99,0.5,0.6111978888511658,0.6537691794529686,0.8525641025641025,0.6015164279696714,0.35994587280108253,0.9394736842105263,0.5061845861084682,0.7334360554699537,0.6497097785058045,0
Mon Dec 28 21:24:25 2020,MT_Attn_Teacher,2e-05,16,30,0.99,0.5,0.7046874761581421,0.7938625750500333,0.9864253393665159,0.7133396404919584,0.5899864682002707,0.9921052631578947,0.7383573243014395,0.8299394606494221,0.7910458656790827,0
Tue Dec 29 00:22:53 2020,MT_Attn_Teacher,2e-05,1,1,0.99,0.5,0.8916666507720947,0.9699799866577719,0.9701897018970189,0.9697766097240473,0.9688768606224628,0.9710526315789474,0.9695328368314151,0.9704142011834319,0.9699647461007052,0
Tue Dec 29 06:13:46 2020,MT_Attn_Teacher,2e-05,16,10,0.99,0.5,0.671093761920929,0.7171447631754503,0.9846153846153847,0.6431005110732538,0.4330175913396482,0.993421052631579,0.6015037593984963,0.7807652533609101,0.7132193219856136,0
Tue Dec 29 06:31:33 2020,MT_Attn_Teacher,2e-05,16,30,0.99,0.5,0.6479166746139526,0.66711140760507,0.9878048780487805,0.6041500399042299,0.32882273342354534,0.9960526315789474,0.49340101522842633,0.7521112767014406,0.6624376825012465,0
Tue Dec 29 06:58:51 2020,MT_Attn_Teacher,2e-05,8,30,0.99,0.5,0.8066666722297668,0.8619079386257505,0.9889705882352942,0.7895287958115184,0.7280108254397835,0.9921052631578947,0.838659392049883,0.8793002915451895,0.860058044298839,0
Wed Dec 30 05:49:01 2020,MT_Attn_Teacher,2e-05,1,1,0.99,0.5,0.800000011920929,0.970647098065377,0.9793103448275862,0.962532299741602,0.9607577807848444,0.9802631578947368,0.9699453551912568,0.9713168187744459,0.9705104693397907,0
