Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,AUC,Fold
Tue Dec 29 00:14:31 2020,MT_Bert_Teacher,2e-05,1,1,0.99,0.5,0.949999988079071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
Wed Dec 30 06:39:29 2020,MT_Bert_Teacher,2e-05,1,1,0.99,0.5,0.9750000238418579,0.9993328885923949,0.9986859395532195,1.0,1.0,0.9986468200270636,0.9993425378040763,0.9993229519295871,0.9993234100135319,0
