Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,AUC,Fold
Sat Dec 26 19:11:36 2020,MT_Attn_Teacher,0.0001,10,3,0.99,0.5,0.7394950985908508,0.7649896623018608,0.0,0.7649896623018608,0.0,1.0,0.0,0.8668488871534558,0.5,0
Sun Dec 27 23:25:48 2020,MT_Attn_Teacher,0.0001,1,5,0.99,0.5,0.75,0.35,0.14285714285714285,0.8333333333333334,0.6666666666666666,0.29411764705882354,0.23529411764705882,0.4347826086956522,0.48039215686274506,0
Mon Dec 28 08:57:51 2020,MT_Attn_Teacher,2e-05,1,15,0.99,0.5,0.8458333611488342,0.475,0.17391304347826086,0.8823529411764706,0.6666666666666666,0.4411764705882353,0.27586206896551724,0.5882352941176471,0.553921568627451,0
